"dates","means","Low","High","Type","country"
2020-03-19,0.042581714442908,3.3228702048374e-05,0.128758904690508,"Error 2","hongkong"
2020-03-19,0.201699286143181,0.0486885985263269,0.380413607042635,"No misidentification","hongkong"
2020-03-20,0.214626952925508,0.0676345430743339,0.387717564284445,"Error 2","hongkong"
2020-03-20,0.607753286335112,0.334500722291859,0.901764237251941,"No misidentification","hongkong"
2020-03-20,0.792103235798204,0.489517112169256,1.12356630450767,"Error 1","hongkong"
2020-03-21,0.129914291175841,0.0254111509297603,0.261141727346419,"Error 2","hongkong"
2020-03-21,0.419544752730949,0.206396625645556,0.651641132245879,"No misidentification","hongkong"
2020-03-21,0.546597052467439,0.312827135479309,0.804606446821883,"Error 1","hongkong"
2020-03-22,0.243699647835564,0.0837235491552919,0.409638724418854,"Error 2","hongkong"
2020-03-22,0.48610295776395,0.261374006034023,0.728512393563878,"No misidentification","hongkong"
2020-03-22,0.669216752072224,0.396365147068779,0.94308080259835,"Error 1","hongkong"
2020-03-23,0.241419573875717,0.0816382429046695,0.412373745374331,"Error 2","hongkong"
2020-03-23,0.594810590502414,0.346758955500276,0.860039382361491,"No misidentification","hongkong"
2020-03-23,0.805231569906999,0.520851566225442,1.12584154085809,"Error 1","hongkong"
2020-03-24,0.458426422540553,0.254692635065323,0.687524105428069,"Error 2","hongkong"
2020-03-24,0.696395697436421,0.429722423644285,0.979744712027515,"No misidentification","hongkong"
2020-03-24,0.985847749039153,0.678286086350346,1.3153484588127,"Error 1","hongkong"
2020-03-25,0.16749292831924,0.0425769842642895,0.300665277454394,"Error 2","hongkong"
2020-03-25,0.470658984084689,0.259045526645243,0.698348243162693,"No misidentification","hongkong"
2020-03-25,0.608455691140943,0.368305167367308,0.871712496750247,"Error 1","hongkong"
2020-03-26,0.264921769767407,0.125903017312827,0.434717977981445,"Error 2","hongkong"
2020-03-26,0.45258112273514,0.249095670638115,0.671524910034699,"No misidentification","hongkong"
2020-03-26,0.608531349057091,0.365615333683721,0.857470636395947,"Error 1","hongkong"
2020-03-27,0.0273486447367755,5.22080630844038e-05,0.0809667552964493,"Error 2","hongkong"
2020-03-27,0.419574066940597,0.22560190789592,0.628806928456915,"No misidentification","hongkong"
2020-03-27,0.49767878400096,0.295201303187679,0.72607252351329,"Error 1","hongkong"
